year,stage_3_cap,stage_4_cap,stage_5_cap,stage_6_cap,stage_7_cap,stage_8_cap,stage_9_cap,stage_10_cap
1962,0,0,0,0,0,0,2,0
1963,0,0,0,0,0,0,0,0
1964,0,0,0,0,1,0,0,0
1965,0,0,0,1,0,1,0,0
1966,1,0,0,0,0,0,0,0
1967,1,2,2,1,0,1,1,0
1968,0,0,4,0,3,0,0,0
1969,0,0,0,0,0,1,1,1
1970,3,2,4,2,1,1,0,0
1971,0,1,3,1,0,0,0,0
1972,1,0,0,0,0,0,0,0
1973,0,0,0,0,1,3,0,0
1974,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0
1977,0,1,0,0,0,0,0,0
